ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,STATUS_Cancelled,STATUS_Disputed,STATUS_In Process,STATUS_On Hold,STATUS_Resolved,STATUS_Shipped,DEALSIZE_Large,DEALSIZE_Medium,DEALSIZE_Small,PRICE_PER_UNIT,HIGH_QUANTITY
10107,39,99.91,5,0.27668432414008576,2003-02-24,1,2,2003,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,False,False,False,False,False,True,False,True,False,0.0070944698497457884,False
10120,29,96.34,3,0.1983881046382822,2003-04-29,2,4,2003,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,False,False,False,False,False,True,False,False,True,0.0068409691254580065,False
10134,27,100.0,5,0.2348801374726617,2003-07-01,3,7,2003,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,Unknown,75508,France,EMEA,Da Cunha,Daniel,False,False,False,False,False,True,False,True,False,0.008699264350839323,False
10145,37,100.0,9,0.36874414178998494,2003-08-25,3,8,2003,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,False,False,False,False,False,True,False,True,False,0.00996605788621581,False
10159,37,100.0,17,0.3562381060584543,2003-10-10,4,10,2003,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,False,False,False,False,False,True,False,True,False,0.009628056920498765,False
10168,27,100.0,4,0.2599575368534666,2003-10-28,4,10,2003,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,False,False,False,False,False,True,False,True,False,0.009628056920498763,False
10180,42,100.0,12,0.3334280114749908,2003-11-11,4,11,2003,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,Unknown,59000,France,EMEA,Rance,Martine,False,False,False,False,False,True,False,True,False,0.007938762177975971,True
10188,38,96.34,4,0.2599568267674042,2003-11-18,4,11,2003,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,Unknown,N 5804,Norway,EMEA,Oeztan,Veysel,False,False,False,False,False,True,False,True,False,0.006840969125458006,False
10201,24,100.0,5,0.21486636180305055,2003-12-01,4,12,2003,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,False,False,False,False,False,True,False,True,False,0.008952765075127106,False
10210,23,100.0,2,0.21367128695997958,2004-01-12,1,1,2004,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,False,False,False,False,False,True,False,True,False,0.009290055954781721,False
10223,47,100.0,4,0.3850363564063965,2004-02-20,1,2,2004,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,False,False,False,False,False,True,False,True,False,0.008192262902263756,True
10236,22,100.0,1,0.20252222569375408,2004-04-03,2,4,2004,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,False,False,False,False,False,True,False,False,True,0.009205555713352458,False
10251,44,100.0,5,0.40876246201039573,2004-05-18,2,5,2004,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,False,False,False,False,False,True,False,True,False,0.009290055954781721,True
10263,40,100.0,5,0.3175504871190388,2004-06-28,2,6,2004,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,False,False,False,False,False,True,False,True,False,0.007938762177975971,False
10275,22,100.0,4,0.2062402363166416,2004-07-23,3,7,2004,Motorcycles,118,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,Unknown,44000,France,EMEA,Labrune,Janine,False,False,False,False,False,True,False,False,True,0.009374556196210982,False
10285,47,100.0,9,0.4604616979577925,2004-08-27,3,8,2004,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,False,False,False,False,False,True,False,True,False,0.009797057403357288,True
10298,39,96.34,1,0.26679779589286223,2004-09-27,3,9,2004,Motorcycles,118,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,Unknown,44000,France,EMEA,Schmitt,Carine,False,False,False,False,False,True,False,True,False,0.006840969125458006,False
10308,34,100.0,2,0.28715596330275234,2004-10-15,4,10,2004,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,False,False,False,False,False,True,False,True,False,0.00844576362655154,False
10318,45,100.0,4,0.39526940665208626,2004-11-02,4,11,2004,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,False,False,False,False,False,True,False,True,False,0.008783764592268584,True
10329,20,100.0,2,0.22552333342801148,2004-11-15,4,11,2004,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,False,False,False,False,False,True,False,True,False,0.011276166671400575,False
10339,40,68.92,4,0.19575652569091376,2004-11-23,4,11,2004,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,False,False,False,False,False,True,False,False,True,0.004893913142272844,False
10361,26,51.15,8,0.09443434544266767,2004-12-17,4,12,2004,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,False,False,False,False,False,True,False,False,True,0.003632090209333372,False
10374,39,100.0,5,0.37549421989945186,2005-02-02,1,2,2005,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,False,False,False,False,False,True,False,True,False,0.009628056920498765,False
10388,50,44.51,5,0.1580296531939671,2005-03-03,1,3,2005,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,False,False,False,False,False,True,False,False,True,0.003160593063879342,True
10402,45,100.0,1,0.4142500071008607,2005-04-07,2,4,2005,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,Unknown,75016,France,EMEA,Perrier,Dominique,False,False,False,False,False,True,False,True,False,0.00920555571335246,True
10417,45,100.0,5,0.41805251796517745,2005-05-13,2,5,2005,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,Unknown,28034,Spain,EMEA,Freyre,Diego,False,True,False,False,False,False,False,True,False,0.009290055954781721,True
10107,27,100.0,4,0.43070625159769366,2003-02-24,1,2,2003,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,False,False,False,False,False,True,False,True,False,0.01595208339250717,False
10120,46,100.0,2,0.6578847956372313,2003-04-29,2,4,2003,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,False,False,False,False,False,True,True,False,False,0.014301843383418073,True
10134,31,100.0,4,0.4987630300792456,2003-07-01,3,7,2003,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,Unknown,75508,France,EMEA,Da Cunha,Daniel,False,False,False,False,False,True,True,False,False,0.01608913000255631,False
10145,33,100.0,8,0.36756752918453717,2003-08-25,3,8,2003,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,False,False,False,False,False,True,False,True,False,0.011138409975289004,False
10159,22,100.0,16,0.2934572670207629,2003-10-10,4,10,2003,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,False,False,False,False,False,True,False,True,False,0.01333896668276195,False
10168,20,100.0,3,0.2970289999147897,2003-10-28,4,10,2003,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,False,False,False,False,False,True,False,True,False,0.014851449995739485,False
10180,41,100.0,11,0.6314724344590564,2003-11-11,4,11,2003,Motorcycles,193,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,Unknown,59000,France,EMEA,Rance,Martine,False,False,False,False,False,True,True,False,False,0.015401766694123327,True
10188,45,100.0,3,0.6188187008265402,2003-11-18,4,11,2003,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,Unknown,N 5804,Norway,EMEA,Oeztan,Veysel,False,False,False,False,False,True,True,False,False,0.013751526685034227,True
10201,49,100.0,4,0.5727476070099696,2003-12-01,4,12,2003,Motorcycles,193,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,False,False,False,False,False,True,True,False,False,0.01168872667367285,True
10210,34,100.0,1,0.43481409946885563,2004-01-12,1,1,2004,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,False,False,False,False,False,True,False,True,False,0.012788649984378106,False
10223,49,100.0,3,0.6940402476780186,2004-02-20,1,2,2004,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,False,False,False,False,False,True,True,False,False,0.014164086687306503,True
10237,39,100.0,9,0.4987573493907462,2004-04-05,2,4,2004,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,False,False,False,False,False,True,True,False,False,0.012788649984378108,False
10251,43,100.0,4,0.5026152469679325,2004-05-18,2,5,2004,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,False,False,False,False,False,True,True,False,False,0.011688726673672848,True
10263,41,100.0,4,0.5919944897321556,2004-06-28,2,6,2004,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,False,False,False,False,False,True,True,False,False,0.014438889993467211,True
10275,36,100.0,3,0.4900957196012157,2004-07-23,3,7,2004,Motorcycles,193,S10_4698,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,Unknown,44000,France,EMEA,Labrune,Janine,False,False,False,False,False,True,False,True,False,0.013613769988922657,False
10285,27,100.0,8,0.3861497713522879,2004-08-27,3,8,2004,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,False,False,False,False,False,True,False,True,False,0.01430184338341807,False
